Year,Month,Region,County,Age Category,Clinical Sign,Diagnosis,Cases,Temperature,Poultry Density,Outbreak Logistics Regression
2012,5,Yorkshire and The Humber,East Riding and North Lincolnshire,0-7 Days,Unknown,"Yolk Sack
Infection",1,12.5,242.8,0.584
2012,6,Yorkshire and The Humber,North Yorkshire,0-7 Days,Unknown,"Yolk Sack
Infection",2,15.1,55.2,0.511
2012,7,East of England,Hertfordshire,0-7 Days,Found Dead,Not Listed,1,17.2,208.4,0.578
2012,8,South East,Hampshire,0-7 Days,Respiratory,"Yolk Sack
Infection",1,16.8,237.2,0.31
2012,9,West Midlands,Warwickshare,0-7 days,Found Dead,"Yolk Sack
Infection",1,14.2,174.6,0.341
2012,10,West Midlands,Warwickshare,0-7 Days,"Musculoskeletal&/or
Lame",Skeletal Defects,1,10.6,106.2,0.12
2012,1,East of England,Hertfordshire,Adult,Found Dead,"Egg Peritonitis and Salingitis,
Northern Fowl Mite",2,4.1,99.5,0.342
2012,1,Scotland,North Eastern Scotland,Adult,Wasting,"Mycoplasmosis, Tuberculosis",2,4.1,240.1,0.294
2012,1,South East,All,Adult,"Nervous, Found Dead","Marek's Disease, Helminthosis",3,4.1,92.3,0.546
2012,1,South West,All,Adult,"Musculoskeletal&/or
Lame, Respiratory","Infectious Laryngo-tracheitis, Marek's Disease",2,4.1,72.1,0.552
2012,1,Wales,Pembrokeshire,Adult,Wasting,Coccidiosis,1,4.1,221.3,0.48
2012,1,West Midlands,All,Adult,"Nervous, Unknonwn, Recumbent","Egg Peritonitis and Salpingitis,
Marek's Disease, Vent and Feather Pecking",3,4.1,288.3,0.334
2012,1,Yorkshire and The Humber,North Yorkshire,Adult,Wasting,Neoplasm,1,4.1,51,0.151
2012,3,East of England,All,Adult,Wasting,Marek's Disease,2,6.8,178,0.883
2012,3,North West,All,Adult,Wasting,Marek's Disease,1,6.8,253.2,0.372
2012,3,Scotland,Dumfried and Galloway,Adult,Wasting,Marek's Disease,1,6.8,203.1,0.496
2012,3,South East,Surrey,Adult,"Unknown, Non-Specific","Infectious sinusitis, Marek's Disease, Mycotic Pneumonia or airsacculitis",3,6.8,230.4,0.882
2012,3,South West,All,Adult,Musculoskeletal&/or Lame,Marek's Disease,1,6.8,123,0.453
2012,3,Wales,Carmarthenshire,Adult,Found Dead,"Ectoparasite, Neoplasm",2,6.8,279.4,0.355
2012,3,Yorkshire and The Humber,North Yorkshire,Adult,Musculoskeletal&/or Lame,Marek's Disease,1,6.8,228.6,0.516
2012,5,East Midlands,Nottinghamshire,Adult,Respiratory,"Infectious laryngo-tracheitis, Marek's Disease",1,12.5,185.6,0.563
2012,5,East of England,All,Adult,Wasting,"Avian intestinal spirachaetosis, Egg peritonitis and salpingitis, Marek's Disease, Neoplasm ",4,12.5,85.5,0.783
2012,5,Scotland,All,Adult,"Unknown, Skin","Colisepticaemia, Egg peritonitis and salpingitis, Focal myositis associated with oil-emulsion, Vent & feather pecking",4,12.5,143.3,0.154
2012,8,East Midlands,Leichestershire and Rutlands,Adult,Found Dead,"Egg Peritonitis and Salpingitis, Infectious bronchitis",2,16.8,218.5,0.472
2012,8,East of England,Norfolk,Adult,Respiratory,"Infectious bronchitis, Infectious coryza",2,16.8,160.5,0.726
2012,8,Scotland,All,Adult,Found Dead,Red Mite,1,16.8,158.5,0.675
2012,8,Wales,All,Adult,"Unknown, Wasting","Helminthosis, Marek's Disease",2,16.8,204.4,0.569
2012,10,East of England,All,Adult,"Found Dead, Respiratory, Wasting","Fatty Liver haem syndrome of layer chickens, Infectious laryngo-tracheitis, Marek's Disease, Pneumonia other cause",4,10.6,178.3,0.13
2012,10,Scotland,Lothian,Adult,"Found Dead, Unknown","Ectoparasite, Egg peritonitis and salingitis",2,10.6,212.6,0.381
2012,10,Wales,North West Wales,adult,Recumbent,Manutrition,1,10.6,200.3,0.551
2012,12,East of England,Hertfordshire,Adult,Non-specific,Marek's Disease,1,4.6,251.3,0.34
2012,12,Wales,All,Adult,"Non-Specific, Unknown","Coccidiosis, Helminthosis, Infectious bronchitis",3,4.6,180.4,0.51
2012,12,East Midlands,Notthinghamshire,Adult,Wasting,Marek's Disease,1,4.6,277.2,0.639
2013,1,West Midlands,Straffordshire,0-7 Days,Found Dead,Colisepticaemia,1,4.1,129.8,0.227
2013,2,West Midlands,Straffordshire,0-7 Days,Found Dead,Not listed - systemic,1,4.5,72.6,0.14
2013,9,Scotland,Lothian,0-7 Days,Unknown,"Yolk Sack
Infection/omphalitis",1,14.2,125.2,0.37
2013,11,Scotland,Ayrshire,0-7 Days,Found Dead,"Nephrosis, nephropathy and visceral gout",1,7.2,78.5,0.186
2013,1,East Midlands,All,Adult,Respiratory,Not listed - systemic,1,4.1,257.2,0.243
2013,2,East of England,Hertfordshire,Adult,All,Egg peritonitis and salpingitis,1,4.5,61.7,0.809
2013,2,Scotland,Scottish Borders,Adult,Recumbent,"Mycoplasmosis-other, Pneumonia -other cause",2,4.5,206.6,0.392
2013,2,South West,Somerset excl Disease,Adult,Wasting,Marek's Disease,1,4.5,186.9,0.275
2013,2,Wales,All,Adult,Wasting,Marek's Disease,1,4.5,254.8,0.702
2013,3,East Midlands,All,Adult,"Respiratory, Wasting","Helminthosis,Not listed- digestive, Not listed- sytemic",4,6.8,99.7,0.186
2013,3,North West,All,Adult,Recumbent,Cardiomyopathy and heart failure,1,6.8,264.2,0.696
2013,3,Scotland,All,Adult,Found Dead,"Adverse environment, Northern Fowl mite",2,6.8,137.9,0.476
2013,3,South East,Hampshire,Adult,Other/Unknown,Neoplasm,1,6.8,238.7,0.579
2013,4,East of England,Hertfordshire,Adult,Abnormal faeces or other GIT,Pneumonia -other cause,1,9.3,124,0.218
2013,4,North West,All,Adult,Abnormal faeces or other GIT,"Mycoplasma gallisepticum, Pneumonia -other cause",2,9.3,271,0.247
2013,4,North West,All,Adult,Found Dead,Egg peritonitis and salpingitis,1,9.3,131.4,0.616
2013,4,North West,All,Adult,Recumbent,Marek's Disease,1,9.3,91.3,0.139
2013,4,Scotland,North Eastern Scotland,Adult,Respiratory,Diagnosis: Egg peritonitis and salpingitis,1,9.3,148.1,0.299
2013,4,South East,All,Adult,Wasting,"Marek's Disease, Neoplasm(other, including adenocarcinoma)",2,9.3,73.4,0.534
2013,4,South West,Devon,Adult,Non-specific,Pasteurellosis (non-respiratory),1,9.3,255.3,0.281
2013,4,Wales,All,Adult,"Abnormal faeces or other GIT, Musculoskeletal&/or Lame","Marek's Disease, Neoplasm(other, including adenocarcinoma)",1,9.3,87.8,0.405
2013,5,East Midlands,Derbyshire,Adult,Egg drop or Egg quality,Infectious bronchitis,1,12.5,146,0.838
2013,5,East of England,Essex,Adult,Wasting,Neoplasm,1,12.5,286.1,0.84
2013,5,North West,Lancashire,Adult,Other/Unknown,Egg peritonitis and salpingitis,1,12.5,296.9,0.553
2013,5,Scotland,North Eastern Scotland,Adult,Other/Unknown,Not listed - urinary,1,12.5,164.1,0.527
2013,5,South East,Hampshire,Adult,Abnormal faeces or other GIT,Neoplasm,1,12.5,256.5,0.112
2013,5,South West,All,Adult,Found Dead,"Pasteurellosis (non-respiratory), Impactions",2,12.5,112.8,0.882
2013,5,Wales,Ceredigion,Adult,other/Unknown,Colisepticaemia,1,12.5,199.3,0.558
2013,5,West Midlands,All,Adult,"Non-specific, Respiratory","Egg peritonitis and salpingitis, Neoplasm(other, including adenocarcinoma), Syngamus species infection(Gapeworm)",2,12.5,275.7,0.733
2013,6,East Midlands,Nottinghamshire,Adult,Wasting,"Egg peritonitis and salpingitis, Helminthosis",2,15.1,183.6,0.549
2013,6,North East,durham,Adult,found dead,infectious bronchitis,1,15.1,197.6,0.802
2013,6,North West,All,Adult,"Abnormal faeces or other GIT, Egg drop or Egg quality, , other/Unknown","colisepticaemia, infectious laryngo-tracheitis, tuberculosis",1,15.1,59.8,0.567
2013,6,South East,All,Adult,"Respiratory, Wasting","Egg peritonitis and salpingitis, infectious bronchitis, not listed- digestive",3,15.1,139.3,0.667
2013,6,South West,gloucestershire,Adult,"Found Dead, Respiratory","Colisepticaemia, Hypovitaminosis A",1,15.1,69.9,0.219
2013,6,West Midlands,All,Adult,"Other unknown, Respiratory","not liosted- reproductive, Pasteurella multocida",1,15.1,126.4,0.443
2013,7,East of England,All,Adult,Egg drop or Egg quality,Marek's Disease,1,17.2,132.7,0.655
2013,7,North East,Northumberland,Adult,other/Unknown,Marek's Disease,1,17.2,243.5,0.184
2013,7,North West,Lancashire,Adult,"found dead, Nervous","Egg peritonitis and salpingitis, Marek's Disease",1,17.2,60,0.452
2013,7,Scotland,all,Adult,Found Dead,not listed - digestive,1,17.2,157.4,0.233
2013,7,South East,all,Adult,"Respiratory, found dead, wasting","Egg peritonitis and salpingitis, Myeloid leucosis(avian), Not listed- urinary",2,17.2,128.7,0.506
2013,7,South West,all,Adult,"other/Unknown, wasting","marek's disease, Egg peritonitis and salpingitis",2,17.2,209.1,0.755
2013,7,Wales,Ceredigion,Adult,recumbent,Coccidiosis,1,17.2,136.6,0.172
2013,8,East Midlands,Derbyshire,Adult,"non-specific, Other/unknown","colisepticaemia, oviduct-prolapsed",1,16.8,60.8,0.74
2013,8,Scotland,north eastern scotland,Adult,found dead ,not listed-respiratory ,1,16.8,270,0.552
2013,8,South East,East sussex,Adult,found dead ,Egg peritonitis and salpingitis,1,16.8,240.8,0.571
2013,8,South West,All,Adult,Other/Unknown,Not listed-digestive,1,16.8,269.5,0.258
2013,8,West Midlands,All,Adult,"Found Dead, Other/Unknwon","Helminthosis, Pasteurella multocida",2,16.8,154.4,0.449
2014,1,West Mislands,Warwickshare,0-7 Days,Found Dead,"Yolk Sac
Infection",1,4.1,69.1,0.387
2014,5,West Mislands,Staffordshire,0-7 Days,Found Dead,Colisepticaemia,1,12.5,245,0.685
2014,5,Scotland,Ayrshire,0-7 Days,Unknown,Adverse environment,1,12.5,159.6,0.519
2014,10,Scotland,Ayrshire,0-7 Days,Unknown,"""Yolk Sac
Infection""",1,10.6,230.9,0.174
2014,1,South West,Somerset excl North,Adult,Wasting,neoplasm,1,4.1,294.5,0.185
2014,1,Wales,Powys,Adult,Non specific,Blackheads,1,4.1,184.6,0.219
2014,1,Wales,Ceredigion,Adult,Found Dead,Egg peritonitis & salpingitis,1,4.1,175.3,0.229
2014,1,Wales,Ceredigion,Adult,Found Dead,Gizzard erosion - NOS,1,4.1,68,0.142
2014,1,Wales,Powys,Adult,Non specific,Helminthosis,1,4.1,117.1,0.138
2014,1,West Mislands,Staffordshire,Adult,Respiratory,Colisepticaemia,1,4.1,175,0.859
2014,2,Scotland,Ayrshire,Adult,Unknown,"Neoplasm (other, including adenocarcinoma)",1,4.5,219.8,0.173
2014,2,South West,Buckinghamshire,Adult,Respiratory,Ammonia keratoconjunctivitis,1,4.5,250.9,0.507
2014,3,North West,Cumbria,Adult,Unknown,Blackhead,2,6.8,145.2,0.195
2014,4,North West,Lancashire,Adult,Unknown,Malnutrition,1,9.3,66.5,0.272
2014,4,South East,Hampshire,Adult, Abnormal faeces or other GIT,Marek's Disease,1,9.3,122,0.71
2014,4,Wales,South Wales,Adult,Found Dead,Infectious laryngo-tracheitis,3,9.3,277.4,0.851
2014,5,Wales,Carmarthenshire,Adult,Found Dead,Fatty liver haem syndrome of layer chickens,2,12.5,103.3,0.476
2014,5,Wales,Carmarthenshire,Adult,Abnormal faeces or other GIT,Helminthosis,1,12.5,163,0.105
2014,5,South East,Surrey,Adult,Wasting,Egg peritonitis and salpingitis,1,12.5,282.8,0.899
2014,5,South West,Devon,Adult,Abnormal faeces or other GIT,Pasteurellosis (non-respiratory),1,12.5,56.2,0.138
2014,6,Scotland,Argyll and Bute,Adult,Wasting,Blackhead,1,15.1,200.1,0.412
