Year,Month,Region,County,Age Category,Clinical Sign,Diagnosis,Cases,Temparature,Poultry Density,Outbreak Logistics Regression
2012,5,Yorkshire and The Humber,East Riding and North Lincolnshire,0-7 Days,Unknown,"Yolk Sack
Infection",1,12.5,242.8,0.584
2012,6,Yorkshire and The Humber,North Yorkshire,0-7 Days,Unknown,"Yolk Sack
Infection",2,15.1,55.2,0.511
2013,1,West Midlands,Straffordshire,0-7 Days,Found Dead,Colisepticaemia,1,4.1,129.8,0.227
2013,2,West Midlands,Straffordshire,0-7 Days,Found Dead,Not listed - systemic,1,4.5,72.6,0.14
2013,8,West Midlands,All,Adult,"Found Dead, Other/Unknwon","Helminthosis, Pasteurella multocida",2,16.8,154.4,0.449
2014,1,West Mislands,Warwickshare,0-7 Days,Found Dead,"Yolk Sac
Infection",1,4.1,69.1,0.387
2014,5,West Mislands,Staffordshire,0-7 Days,Found Dead,Colisepticaemia,1,12.5,245,0.685
2015,9,Wales,Ceredigion,0-7 Days,Wasting,Helminthosis,1,14.2,259.5,0.29
2015,9,Wales,Ceredigion,0-7 Days,Wasting,Infectious bronchitis,3,14.2,242.2,0.632
2016,1,Scotland,Ayrshire,0-7 Days,Found Dead,"Yolk Sac
Infection",1,4.1,63.3,0.224
2016,3,Scotland,Ayrshire,0-7 Days,Found Dead,"Yolk Sac
Infection",2,6.8,127.2,0.537
2016,3,Scotland,Ayrshire,0-7 Days,Found Dead,Sudden death syndrome ,1,6.8,198.1,0.327
2017,12,Scotland,Dumfries & Galloway,ImImmature,Skin Lesions,Lice Infestation,1,4.6,201.9,0.45
2017,1,South East,Kent,0-7 Days,Found Dead,Yolk Sack Infection,3,4.1,257.1,0.816
2018,1,South East,Kent,0-7 Days,Found Dead,Yolk Sack Infection,2,4.1,91.2,0.139
2018,2,North West,Cheshire,Immature,Neurological,Marek's Disease,3,4.5,58.9,0.833
2018,2,South West,Somerset,Unknown,Digestive,Necrotic Enteritis,1,4.5,120.4,0.317
2019,1,East of England,Hertfordshire,Adult,Respiratory,Marek's Desease,1,4.1,90.1,0.171
2019,1,North East,Tyne & Wear,Adult,Found Dead,Impactions,1,4.1,98.1,0.416
2020,5,East of England,Bedfordshire,Adult,Musculoskeletal &/or Lame,Marek's Desease,1,12.5,286.6,0.318
2020,6,Yorkshire and The Humber,West Yorkshire,Adult,Found Dead,Colicepticaemia,1,15.1,200.9,0.567
2021,7,Yorkshire and The Humber,North Yorkshire,Adult,Wasting,Blackhead,1,17.2,254.2,0.834
2021,8,Scotland,Scottish Borders,Unknown,Found Dead,Malnutrition,1,16.8,207.4,0.567
2022,3,East Midlands & South West,Northern Somerset & South Gloucestershire,Adult,Unknown,Egg peritonitis & salpingits,1,6.8,207.2,0.885
2022,3,North West,Cumbria,Adult,Abnormal faeces & other GIT,Marek's Desease,1,6.8,114.6,0.875
2022,4,East of England,Essex,0-7 Days,Found Dead,Starve out,1,9.3,261.7,0.529
2022,4,East Midlands & Yorkshire and The Humber,West Yorkshire,Adult,Nervous,Marek's Desease,1,9.3,155.3,0.595
2022,5,Wales,Ceredigion,Adult,Recumbent,Egg peritonitis & salpingits,1,12.5,273.1,0.635
2023,6,East Midlands,Leicestershire and Rutland,Unknown,Unknown,Marek's Desease,1,15.1,296.3,0.827
2023,7,South West,Somerset excl North,Immature,Found Dead,Malnutrition,1,17.2,78.9,0.826
2024,7,East of England,Hertfordshire,Adult,Wasting,Neoplasm,1,17.2,91.2,0.404
2024,8,East Midlands,Lincolnshire,Adult,Abnormal faeces & other GIT,Poor Intestinal health in broilers ,1,16.8,244.5,0.183
