Year,Month,Region,County,Age Category,Clinical Sign,Diagnosis,Cases,Temparature,Poultry Density,Outbreak Logistics Regression
2012,6,Yorkshire & Humber,North Yorkshire,0-7 Days,Unknown,"Yolk Sack
Infection",2,15.1,55.2,0.511
2012,12,East of England,Hertfordshire,Adult,Non-specific,Marek's Disease,1,4.6,251.3,0.34
2012,10,Wales,North West Wales,adult,Recumbent,Manutrition,1,10.6,200.3,0.551
2012,5,Yorkshire & Humber,East Riding and North Lincolnshire,0-7 Days,Unknown,"Yolk Sack
Infection",1,12.5,242.8,0.584
2012,3,Yorkshire & Humber,North Yorkshire,Adult,Musculoskeletal&/or Lame,Marek's Disease,1,6.8,228.6,0.516
2012,1,Wales,Pembrokeshire,Adult,Wasting,Coccidiosis,1,4.1,221.3,0.48
2012,8,South East,Hampshire,0-7 Days,Respiratory,"Yolk Sack
Infection",1,16.8,237.2,0.31
2012,7,East of England,Hertfordshire,0-7 Days,Found Dead,Not Listed,1,17.2,208.4,0.578
2012,12,East Midlands,Notthinghamshire,Adult,Wasting,Marek's Disease,1,4.6,277.2,0.639
2012,10,West Midlands,Warwickshare,0-7 Days,"Musculoskeletal&/or
Lame",Skeletal Defects,1,10.6,106.2,0.12
2012,3,Scotland,Dumfried and Galloway,Adult,Wasting,Marek's Disease,1,6.8,203.1,0.496
2013,1,West Midlands,Straffordshire,0-7 Days,Found Dead,Colisepticaemia,1,4.1,129.8,0.227
2013,2,West Midlands,Straffordshire,0-7 Days,Found Dead,Not listed - systemic,1,4.5,72.6,0.14
2013,4,East of England,Hertfordshire,Adult,Abnormal faeces or other GIT,Pneumonia -other cause,1,9.3,124,0.218
2013,7,Wales,Ceredigion,Adult,recumbent,Coccidiosis,1,17.2,136.6,0.172
2013,7,North East,Northumberland,Adult,other/Unknown,Marek's Disease,1,17.2,243.5,0.184
2013,5,Wales,Ceredigion,Adult,other/Unknown,Colisepticaemia,1,12.5,199.3,0.558
2013,5,East of England,Essex,Adult,Wasting,Neoplasm,1,12.5,286.1,0.84
2013,5,Scotland,North Eastern Scotland,Adult,Other/Unknown,Not listed - urinary,1,12.5,164.1,0.527
2013,9,Scotland,Lothian,0-7 Days,Unknown,"Yolk Sack
Infection/omphalitis",1,14.2,125.2,0.37
2013,8,Scotland,north eastern scotland,Adult,found dead ,not listed-respiratory ,1,16.8,270,0.552
2013,3,South East,Hampshire,Adult,Other/Unknown,Neoplasm,1,6.8,238.7,0.579
2014,3,North West,Cumbria,Adult,Unknown,Blackhead,2,6.8,145.2,0.195
2014,4,Wales,South Wales,Adult,Found Dead,Infectious laryngo-tracheitis,3,9.3,277.4,0.851
2014,10,Scotland,Ayrshire,Immature,Unknown,Broiler ascites,2,10.6,101.2,0.178
2014,5,Wales,Carmarthenshire,Adult,Found Dead,Fatty liver haem syndrome of layer chickens,2,12.5,103.3,0.476
2014,10,Scotland,Ayrshire,Immature,Unknown,Yolk Sac Infection,2,10.6,166.9,0.674
2014,7,Scotland,Lothian,Immature,Found Dead,Yolk Sac Infection,3,17.2,217.3,0.798
